country_code,product_line_code,theme_code,mention_cnt,negative_rate,trend_wow,priority_level
CN,unknown,pump_modes,1,0.00,0.00,P2
CN,unknown,suction_power,1,0.00,0.00,P2
DK,unknown,general,1,0.00,0.00,P2
UZ,unknown,general,2,0.00,0.00,P2
BG,unknown,nipple_pain,1,0.00,0.00,P2
BG,unknown,suction_power,1,0.00,0.00,P2
BG,unknown,size_fit,1,0.00,0.00,P2
BG,unknown,general,1,0.00,0.00,P2
HR,unknown,general,3,0.00,0.00,P2
CA,unknown,pump_modes,2,0.00,0.00,P2
CA,breast_pump,general,4,0.00,0.00,P2
CA,breast_pump,comfort,6,0.00,0.00,P2
CA,breast_pump,milk_output,11,0.18,0.00,P2
CA,unknown,milk_output,2,0.00,0.00,P2
CA,unknown,general,7,0.00,0.00,P2
CA,breast_pump,portability,7,0.14,0.00,P2
CA,breast_pump,pump_modes,2,0.00,0.00,P2
CA,breast_pump,flange_size,4,0.25,0.00,P2
CA,breast_pump,cleaning,7,0.14,0.00,P2
CA,breast_pump,app_connectivity,3,0.33,0.00,P2
CA,breast_pump,leaking,3,0.67,0.00,P2
CA,breast_pump,noise_level,4,0.00,0.00,P2
CA,breast_pump,suction_power,3,0.33,0.00,P2
CA,breast_pump,nipple_pain,1,1.00,0.00,P2
CA,breast_pump,battery_life,1,0.00,0.00,P2
CA,unknown,comfort,2,0.00,0.00,P2
CA,unknown,app_connectivity,1,0.00,0.00,P2
CA,unknown,flange_size,1,0.00,0.00,P2
CA,unknown,size_fit,1,0.00,0.00,P2
CA,unknown,price_value,1,0.00,0.00,P2
CA,breast_pump,price_value,2,0.50,0.00,P2
CA,breast_pump,size_fit,1,1.00,0.00,P2
HU,unknown,nipple_pain,1,1.00,0.00,P2
HU,unknown,noise_level,1,1.00,0.00,P2
HU,unknown,suction_power,1,1.00,0.00,P2
HU,unknown,general,1,0.00,0.00,P2
ID,unknown,general,5,0.00,0.00,P2
IN,breast_pump,battery_life,5,0.00,0.00,P2
IN,breast_pump,price_value,3,0.33,0.00,P2
IN,breast_pump,pump_modes,3,0.00,0.00,P2
IN,unknown,general,9,0.00,0.00,P2
IN,breast_pump,milk_output,4,0.25,0.00,P2
IN,breast_pump,nipple_pain,1,1.00,0.00,P2
IN,breast_pump,suction_power,4,0.25,0.00,P2
IN,breast_pump,portability,1,0.00,0.00,P2
IN,unknown,app_connectivity,1,0.00,0.00,P2
IN,unknown,milk_output,1,0.00,0.00,P2
IN,unknown,price_value,2,0.00,0.00,P2
IN,unknown,nipple_pain,1,1.00,0.00,P2
IN,unknown,comfort,2,0.00,0.00,P2
IN,unknown,suction_power,1,0.00,0.00,P2
IN,unknown,portability,1,0.00,0.00,P2
IN,unknown,battery_life,2,0.00,0.00,P2
IN,unknown,noise_level,1,0.00,0.00,P2
IN,breast_pump,general,1,0.00,0.00,P2
MX,unknown,suction_power,1,0.00,0.00,P2
MX,unknown,nipple_pain,1,0.00,0.00,P2
MX,unknown,size_fit,1,0.00,0.00,P2
MX,unknown,wireless,1,0.00,0.00,P2
MX,unknown,general,3,0.00,0.00,P2
AT,breast_pump,general,4,0.00,0.00,P2
GR,unknown,general,1,0.00,0.00,P2
DE,breast_pump,app_connectivity,3,0.00,0.00,P2
DE,breast_pump,pump_modes,1,0.00,0.00,P2
DE,breast_pump,general,3,0.00,0.00,P2
DE,breast_pump,milk_output,1,0.00,0.00,P2
IT,unknown,general,29,0.00,0.00,P2
IT,unknown,app_connectivity,2,0.00,0.00,P2
IT,unknown,cleaning,3,0.00,0.00,P2
IT,unknown,comfort,1,0.00,0.00,P2
IT,unknown,flange_size,1,0.00,0.00,P2
IT,unknown,price_value,1,0.00,0.00,P2
IT,unknown,size_fit,1,0.00,0.00,P2
IT,unknown,battery_life,1,0.00,0.00,P2
IT,unknown,portability,1,0.00,0.00,P2
IT,unknown,leaking,1,0.00,0.00,P2
IT,unknown,milk_output,1,0.00,0.00,P2
IT,unknown,suction_power,1,0.00,0.00,P2
NO,unknown,general,3,0.00,0.00,P2
NO,unknown,app_connectivity,1,0.00,0.00,P2
CZ,unknown,general,1,0.00,0.00,P2
BE,unknown,general,3,0.00,0.00,P2
BE,breast_pump,general,23,0.00,0.00,P2
BE,breast_pump,app_connectivity,5,0.00,0.00,P2
BE,breast_pump,flange_size,1,0.00,0.00,P2
BE,breast_pump,suction_power,4,0.00,0.00,P2
BE,breast_pump,pump_modes,1,0.00,0.00,P2
BE,breast_pump,price_value,1,0.00,0.00,P2
BE,breast_pump,battery_life,1,0.00,0.00,P2
BE,breast_pump,cleaning,4,0.00,0.00,P2
BE,breast_pump,portability,1,0.00,0.00,P2
BE,breast_pump,milk_output,4,0.00,0.00,P2
BE,breast_pump,leaking,1,0.00,0.00,P2
SA,breast_pump,portability,1,0.00,0.00,P2
SA,breast_pump,suction_power,1,0.00,0.00,P2
SA,breast_pump,general,1,0.00,0.00,P2
FR,unknown,general,6,0.00,0.00,P2
FR,breast_pump,cleaning,3,0.00,0.00,P2
FR,breast_pump,comfort,2,0.00,0.00,P2
FR,breast_pump,milk_output,3,0.00,0.00,P2
FR,breast_pump,noise_level,1,0.00,0.00,P2
FR,breast_pump,portability,2,0.00,0.00,P2
FR,breast_pump,price_value,1,0.00,0.00,P2
FR,breast_pump,suction_power,2,0.00,0.00,P2
FR,unknown,app_connectivity,1,0.00,0.00,P2
FR,unknown,flange_size,1,0.00,0.00,P2
FR,unknown,size_fit,1,0.00,0.00,P2
FR,unknown,comfort,1,0.00,0.00,P2
FR,unknown,price_value,1,0.00,0.00,P2
FR,unknown,pump_modes,1,0.00,0.00,P2
FR,breast_pump,leaking,1,0.00,0.00,P2
TH,unknown,general,5,0.00,0.00,P2
AU,breast_pump,hands_free,1,0.00,0.00,P2
