task_id,country_code,platform_code,wave,collection_mode,status,error_type,owner,started_at,finished_at,next_action
GLOBAL_forum_batch01,GLOBAL,forum,batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
GLOBAL_generic_batch01,GLOBAL,generic,batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
BE_Amazon.com.be_ACTUAL_WAVE_BE_BATCH01,BE,amazon_com_be,ACTUAL_WAVE_BE_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
IT_Amazon.it_ACTUAL_WAVE_IT_BATCH01,IT,amazon_it,ACTUAL_WAVE_IT_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
IT_alfemminile_Forum_ACTUAL_WAVE_IT_BATCH01,IT,alfemminile_forum,ACTUAL_WAVE_IT_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
KE_Jumia_Kenya_ACTUAL_WAVE_KE_BATCH01,KE,jumia_kenya,ACTUAL_WAVE_KE_BATCH01,batch,done,,system,03-10-2025,2026-04-01T17:58:52,keep_template_synced
KE_本土妈妈群_/_媒体单篇_ACTUAL_WAVE_KE_BATCH01,KE,本土妈妈群_/_媒体单篇,ACTUAL_WAVE_KE_BATCH01,batch,done,,system,03-10-2025,2026-04-01T17:58:52,keep_template_synced
CA_Amazon.ca_ACTUAL_WAVE_CA_BATCH01,CA,amazon_ca,ACTUAL_WAVE_CA_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
CA_Mamanpourlavie_Forum_ACTUAL_WAVE_CA_BATCH01,CA,mamanpourlavie_forum,ACTUAL_WAVE_CA_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
LB_Amazon.ae_ACTUAL_WAVE_LB_BATCH01,LB,amazon_ae,ACTUAL_WAVE_LB_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
LB_Lebanon_MOPH_ACTUAL_WAVE_LB_BATCH01,LB,lebanon_moph,ACTUAL_WAVE_LB_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
AU_Amazon.com.au_ACTUAL_WAVE_AU_BATCH01,AU,amazon_com_au,ACTUAL_WAVE_AU_BATCH01,batch,done,,system,2025-01-30,2026-04-01T17:58:52,keep_template_synced
AU_BabyCenter_Australia_ACTUAL_WAVE_AU_BATCH01,AU,babycenter_australia,ACTUAL_WAVE_AU_BATCH01,batch,done,,system,2025-01-30,2026-04-01T17:58:52,keep_template_synced
ES_Amazon.es_ACTUAL_WAVE_ES_BATCH01,ES,amazon_es,ACTUAL_WAVE_ES_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
FI_Vauva.fi_ACTUAL_WAVE_FI_BATCH01,FI,vauva_fi,ACTUAL_WAVE_FI_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
FI_YouTube_ACTUAL_WAVE_FI_BATCH01,FI,youtube,ACTUAL_WAVE_FI_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
IN_Amazon.in_ACTUAL_WAVE_IN_BATCH01,IN,amazon_in,ACTUAL_WAVE_IN_BATCH01,batch,done,,system,2025-09-04,2026-04-01T17:58:52,keep_template_synced
OM_Amazon.ae_ACTUAL_WAVE_OM_BATCH01,OM,amazon_ae,ACTUAL_WAVE_OM_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
OM_Amazon.ae_/_Noon_ACTUAL_WAVE_OM_BATCH01,OM,amazon_ae_/_noon,ACTUAL_WAVE_OM_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
